id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,initial_sentiment_x_log_review_count,first_review_date,last_review_date_in_window
10008667-black_irish,2,0,2,1,0.0,-1.0,negative,1.0986122886681098,-1.0986122886681098,2007-09-30,2007-10-05
10008687-powder_blue,3,0,3,1,0.0,-1.0,negative,1.3862943611198906,-1.3862943611198906,2009-05-12,2009-05-14
10008699-terrors_advocate,13,10,3,5,0.7692307692307693,0.5483870967741935,positive,2.6390573296152584,1.4472249872083673,2007-10-12,2007-10-20
10008700-darfur_now,26,19,7,15,0.7307692307692307,0.4626865671641791,positive,3.295836866004329,1.5249394454646896,2007-11-02,2007-11-09
10008701-laaga_chunari_mein_daag,3,1,2,0,0.3333333333333333,-0.3333333333333333,negative,1.3862943611198906,-0.46209812037329684,2007-10-18,2007-10-19
10008703-rails_and_ties,16,9,7,7,0.5625,0.07692307692307693,mixed,2.833213344056216,0.21793948800432433,2007-10-26,2007-11-03
10008705-mr_untouchable,8,7,1,5,0.875,0.8095238095238095,positive,2.1972245773362196,1.7787056102245586,2007-10-26,2007-10-27
10008706-house,6,0,6,1,0.0,-1.0,negative,1.9459101490553132,-1.9459101490553132,2008-11-07,2008-11-14
10008744-canvas,9,8,1,6,0.8888888888888888,0.8333333333333334,positive,2.302585092994046,1.9188209108283716,2007-10-12,2007-10-18
10008748-saawariya,13,5,8,7,0.38461538461538464,-0.2727272727272727,negative,2.6390573296152584,-0.7197429080768886,2007-11-09,2007-11-16
10008752-aaja_nachle,2,2,0,0,1.0,1.0,positive,1.0986122886681098,1.0986122886681098,2007-12-04,2007-12-06
10008754-flawless,26,17,9,11,0.6538461538461539,0.36507936507936506,positive,3.295836866004329,1.203242030446025,2008-03-28,2008-04-02
10008760-what_happens_in_vegas,73,17,56,28,0.2328767123287671,-0.5517241379310345,negative,4.30406509320417,-2.3746566031471286,2008-05-09,2008-05-18
10008785-appaloosa,45,34,11,18,0.7555555555555555,0.5370370370370371,positive,3.828641396489095,2.0561222314478473,2008-10-03,2008-10-10
10008820-visitor,29,28,1,14,0.9655172413793104,0.9166666666666666,positive,3.4011973816621555,3.1177642665236425,2008-04-11,2008-04-20
10008830-bill,3,0,3,2,0.0,-1.0,negative,1.3862943611198906,-1.3862943611198906,2008-05-09,2008-05-12
10008849-married_life,30,14,16,16,0.4666666666666667,-0.07894736842105263,mixed,3.4339872044851463,-0.2711042529856694,2008-03-07,2008-03-15
10008864-shake_hands_with_the_devil,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,-0.6931471805599453,2010-10-31,2010-10-31
10008924-oxford_murders,5,0,5,2,0.0,-1.0,negative,1.791759469228055,-1.791759469228055,2010-08-08,2010-08-13
10008954-untraceable,52,7,45,17,0.1346153846153846,-0.7355371900826446,negative,3.970291913552122,-2.920297357901974,2008-01-25,2008-02-01
10008991-informers,40,5,35,14,0.125,-0.7659574468085106,negative,3.713572066704308,-2.844438178752236,2009-04-24,2009-05-01
10008992-meeting_resistance,5,4,1,4,0.8,0.5714285714285714,positive,1.791759469228055,1.0238625538446027,2007-10-19,2007-10-23
10009001-the_freshman,1,1,0,1,1.0,1.0,positive,0.6931471805599453,0.6931471805599453,1990-07-20,1990-07-20
10009055-rocker,57,20,37,22,0.3508771929824561,-0.27941176470588236,negative,4.060443010546419,-1.1345355470644407,2008-08-20,2008-08-29
10009063-perfect_holiday,36,5,31,19,0.1388888888888889,-0.7142857142857143,negative,3.6109179126442243,-2.5792270804601602,2007-12-12,2007-12-17
10009066-la_graine_et_le_mulet,5,5,0,3,1.0,1.0,positive,1.791759469228055,1.791759469228055,2008-12-24,2008-12-29
10009083-land_of_the_lost,87,28,59,26,0.3218390804597701,-0.39,negative,4.477336814478207,-1.7461613576465007,2009-06-05,2009-06-13
10009151-box,49,24,25,12,0.4897959183673469,-0.01818181818181818,mixed,3.912023005428146,-0.07112769100778447,2009-11-06,2009-11-13
10009192-21,68,20,48,21,0.29411764705882354,-0.4267515923566879,negative,4.23410650459726,-1.8069116930446905,2008-03-28,2008-04-04
